Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0362961482107395,-0.016136099480918,-0.0302238925968727,0,0,0,0.348716563629928,0.00121632161547816,2.63771405343575E-08,8.94666769589299E-10,0.00121689714148571,-2.13592556940495E-08,0.00241755683271426,0,0,0,0,0,0,package://Hexybot/meshes/base_link.STL,0,0,0,1,0,0,0,0,0,0,package://Hexybot/meshes/base_link.STL,,Nut 2x12-1;Servo Horn-2;Nut 2x12-2;Top Base-1;Servo Horn-31;Nut 2x12-20;Nut 2x12-16;Servo Horn-30;Nut 2x12-15;Servo Horn-29;Nut 2x12-13;Servo Horn-32;Bottom base-1;Servo Horn-33;Nut 2x12-21;Nut 2x12-22;Nut 2x12-18;Nut 2x12-17;Nut 2x12-19;Nut 2x12-14,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
1_1,-0.0324143971560813,-0.0119954828073387,5.41790912282417E-05,0,0,0,0.0831083959766699,1.83854901396944E-05,-1.04764195649455E-06,-3.95555025497812E-07,2.5253002001055E-05,-9.35099460279389E-07,1.84595866059747E-05,0,0,0,0,0,0,package://Hexybot/meshes/1_1.STL,0,0,0.501960784313725,1,0,0,0,0,0,0,package://Hexybot/meshes/1_1.STL,,Servoholder Joint-1;Servo Motor-2;Servo Motor-3,Origin_base_1_1,Axis_base_1_1,base_1_1,revolute,0.09573,-0.016152,0,1.281,-1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
1_2,-0.0660480250727562,0.00267607742551941,-0.0134131085256413,0,0,0,0.10621838803,3.65898938174288E-05,1.99420519310336E-06,3.68956436722859E-06,8.57401070624248E-05,-1.48833773537329E-07,6.57787261558976E-05,0,0,0,0,0,0,package://Hexybot/meshes/1_2.STL,0,0,0,1,0,0,0,0,0,0,package://Hexybot/meshes/1_2.STL,,Servo Horn-3;Leg Femur-1;Servo Motor-1,Origin_1_1_1_2,Axis_1_1_1_2,1_1_1_2,revolute,-0.045127,-0.024,0,0,0,1.2224,1_1,0,0,1,0,0,0,0,,,,,,,,
1_3,-0.0522325679209618,-0.0181507220987475,0.0143077407854749,0,0,0,0.0518261116830356,7.91190176311023E-05,-2.09235102995172E-05,6.09863722023096E-20,6.70169800836734E-05,7.41153828847513E-20,5.8890613746851E-05,0,0,0,0,0,0,package://Hexybot/meshes/1_3.STL,0.501960784313725,0.501960784313725,1,1,0,0,0,0,0,0,package://Hexybot/meshes/1_3.STL,,Leg Tibia-1;Servo Horn-1,Origin_1_2_1_3,Axis_1_2_1_3,1_2_1_3,revolute,-0.086966,0.003523,0,-3.1416,0,0.13813,1_2,0,0,1,0,0,0,0,,,,,,,,
2_1,0.00611022556989236,-0.0103227758517485,0.0358313941760022,0,0,0,0.083108415470142,2.10110599159992E-05,-3.42017694293567E-06,-1.88260753834009E-07,2.2701537722076E-05,1.10389216606998E-06,1.8385491988511E-05,0,0,0,0,0,0,package://Hexybot/meshes/2_1.STL,0,0,0.501960784313725,1,0,0,0,0,0,0,package://Hexybot/meshes/2_1.STL,,Servoholder Joint-7;Servo Motor-29;Servo Motor-24,Origin_base_2_1,,base_2_1,revolute,0.029635,0.098129,0.003417,3.1416,0,0.29616,base_link,0,0,1,0,0,0,0,,,,,,,,
2_2,-0.0660480250727568,0.00267607742552023,0.021575178588893,0,0,0,0.10621838803,3.65898938174288E-05,1.99420519310338E-06,3.68956436722858E-06,8.57401070624247E-05,-1.48833773537327E-07,6.57787261558976E-05,0,0,0,0,0,0,package://Hexybot/meshes/2_2.STL,0,0,0,1,0,0,0,0,0,0,package://Hexybot/meshes/2_2.STL,,Servo Horn-24;Leg Femur-7;Servo Motor-19,Origin_2_1_2_2,,2_1_2_2,revolute,-0.018058,-0.038394,0.048544,1.5708,0.3484,2.1007,2_1,0,0,1,0,0,0,0,,,,,,,,
2_3,0.0262375892873183,-0.0499566115985929,0.037406002217721,0,0,0,0.0518261116830355,9.45809223489306E-05,-1.53236541738029E-06,2.74142208663149E-06,5.13932191137728E-05,-7.24703577889787E-07,5.90524699989238E-05,0,0,0,0,0,0,package://Hexybot/meshes/2_3.STL,0.501960784313725,0.501960784313725,1,1,0,0,0,0,0,0,package://Hexybot/meshes/2_3.STL,,Leg Tibia-7;Servo Horn-19,Origin_2_2_2_3,,2_2_2_3,revolute,-0.086966,0.003523,-0.018378,-0.080086,0.07983,-2.3287,2_2,0,0,1,0,0,0,0,,,,,,,,
3_1,0.00460363462952386,-0.0110770543568071,-0.0358313912874928,0,0,0,0.0831083830671431,1.8813285240212E-05,-1.77542608592108E-06,7.71001818608903E-07,2.48992998166613E-05,-8.12140807099101E-07,1.8385488766488E-05,0,0,0,0,0,0,package://Hexybot/meshes/3_1.STL,0,0,0.501960784313725,1,0,0,0,0,0,0,package://Hexybot/meshes/3_1.STL,,Servoholder Joint-8;Servo Motor-25;Servo Motor-30,Origin_base_3_1,,base_3_1,revolute,-0.10238,0.098029,0.003417,0,0,-2.7266,base_link,0,0,1,0,0,0,0,,,,,,,,
3_2,-0.0660480250727568,0.0026760774255206,0.0215751785888917,0,0,0,0.10621838803,3.65898938174288E-05,1.99420519310336E-06,3.68956436722863E-06,8.57401070624249E-05,-1.48833773537324E-07,6.57787261558977E-05,0,0,0,0,0,0,package://Hexybot/meshes/3_2.STL,0,0,0,1,0,0,0,0,0,0,package://Hexybot/meshes/3_2.STL,,Servo Horn-25;Leg Femur-8;Servo Motor-20,Origin_31_32,,31_32,revolute,0.041559,-0.0085469,-0.048544,-1.5708,-0.3484,1.9692,3_1,0,0,1,0,0,0,0,,,,,,,,
3_3,-0.0216931488507502,-0.0273633121592585,0.0312418999195549,0,0,0,0.0853915174486207,6.50391211473026E-05,-1.49736834579984E-05,-1.23549168120841E-06,9.70313671788989E-05,1.27849804853764E-06,6.46777909583075E-05,0,0,0,0,0,0,package://Hexybot/meshes/3_3.STL,0.501960784313725,0.501960784313725,1,1,0,0,0,0,0,0,package://Hexybot/meshes/3_3.STL,,Leg Tibia-8;Servo Motor-20,Origin_32_33,,32_33,revolute,-0.086966,0.003523,-0.018378,-0.080086,0.07983,-1.1257,3_2,0,0,1,0,0,0,0,,,,,,,,
4_1,0.00814143247399191,0.00880974576401097,-0.035831391114241,0,0,0,0.0831083959766699,2.24897917069097E-05,3.4656478792623E-06,4.15842704022568E-07,2.12227969001201E-05,1.03975588130845E-06,1.83854901396944E-05,0,0,0,0,0,0,package://Hexybot/meshes/4_1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://Hexybot/meshes/4_1.STL,,Servo Motor-31;Servoholder Joint-9;Servo Motor-26,Origin_base_41,,base_41,revolute,-0.1683,-0.016351,0.003417,0,0,2.6021,base_link,0,0,1,0,0,0,0,,,,,,,,
4_2,-0.0660480250727571,0.00267607742552119,0.021575178588893,0,0,0,0.10621838803,3.65898938174288E-05,1.99420519310338E-06,3.68956436722859E-06,8.57401070624249E-05,-1.48833773537329E-07,6.57787261558977E-05,0,0,0,0,0,0,package://Hexybot/meshes/4_2.STL,0,0,0,1,0,0,0,0,0,0,package://Hexybot/meshes/4_2.STL,,Servo Horn-26;Leg Femur-9;Servo Motor-21,Origin_41_42,,41_42,revolute,-0.0095938,0.04133,-0.048544,-1.5708,-0.3484,-2.3123,4_1,0,0,1,0,0,0,0,,,,,,,,
4_3,0.0546620164491392,-0.00835187536053078,0.0390588437055052,0,0,0,0.0518261116830356,7.12376296761462E-05,2.17038673999407E-05,1.6940658945086E-19,7.48983680386295E-05,-8.21621958836671E-20,5.88906137468511E-05,0,0,0,0,0,0,package://Hexybot/meshes/4_3.STL,0,0,0,1,0,0,0,0,0,0,package://Hexybot/meshes/4_3.STL,,Servo Horn-21;Leg Tibia-9,Origin_42_43,,42_43,revolute,-0.086966,0.003523,-0.018378,0,0,3.0969,4_2,0,0,1,0,0,0,0,,,,,,,,
